@relation anime_rating

@attribute Director {A, B, C, D, E, F}
@attribute Storyboard {A, B, C, D, E, F}
@attribute CharacterDesign {A, B, C, D, E, F}
@attribute SoundDirector {A, B, C, D, E, F}
@attribute Producer {A, B, C, D, E, F}
@attribute AnimationProducer {A, B, C, D, E, F}
@attribute VoiceActor {A, B, C, D, E, F}
@attribute Class {A, B, C, D, E, F}

@data
B, C, B, C, B, B, B, A
B, B, C, C, C, B, B, C
C, B, C, C, B, B, B, B
D, C, D, C, C, B, C, D
B, B, A, C, B, B, B, A
C, C, C, C, C, C, C, C
D, C, B, C, C, C, C, B
C, C, C, B, C, C, C, C
A, B, A, A, B, B, B, A
B, B, B, B, B, B, B, B
D, C, D, C, C, B, C, D
C, B, C, B, B, B, C, B
C, C, D, C, D, D, C, D
D, D, C, B, C, C, C, D
C, C, C, B, C, C, C, C
A, B, B, C, B, C, B, A
B, B, C, C, B, B, B, B
B, B, B, C, B, B, B, B
C, C, B, C, C, C, B, B
C, C, C, C, C, C, C, C
B, D, B, B, C, B, B, C
B, A, A, C, C, B, B, A
C, B, B, B, C, C, C, B
C, B, C, C, B, B, B, B
B, B, B, C, B, B, C, B
B, C, B, C, B, C, B, B
D, C, C, C, D, C, C, C
C, C, C, C, C, C, C, C
B, B, B, B, B, B, C, B
C, C, A, C, B, B, B, A
B, B, B, C, A, B, B, A
C, C, C, B, C, C, C, C
B, B, B, B, B, B, B, B
C, C, C, C, C, C, B, C
A, B, B, B, B, B, B, B
A, B, A, A, B, B, B, A
C, B, C, C, C, C, C, C
B, B, B, C, C, B, B, C
B, B, B, C, F, B, C, B
B, B, C, B, B, B, B, B
B, C, B, C, C, C, C, B
D, C, D, C, D, C, C, D
C, C, B, B, B, B, F, C
C, C, B, C, B, C, C, B
C, C, C, B, C, C, C, B
B, B, B, B, B, B, B, A
A, B, B, B, B, B, B, B
C, C, C, D, C, B, C, C
B, C, D, C, C, C, C, D
B, C, B, C, B, C, C, B
B, B, C, C, B, B, B, B
B, B, B, C, B, B, B, B
B, C, B, C, B, B, B, B
D, C, D, C, C, C, B, D
D, D, C, C, C, C, C, D
D, C, C, B, D, D, C, E
D, C, C, C, C, B, C, C
B, C, C, C, B, B, B, A
C, C, C, C, C, C, C, C
B, B, B, C, B, B, C, B
C, C, B, B, F, B, B, B
A, B, B, B, B, B, B, B
C, D, D, B, C, C, C, C
B, B, B, B, B, B, C, C
C, D, C, B, C, C, B, B
C, C, B, C, B, B, B, B
B, C, B, B, C, B, B, B
B, C, D, B, C, B, C, C
C, B, C, B, B, C, B, B
B, B, B, B, B, A, B, A
C, C, C, C, C, C, C, C
B, B, A, B, B, B, C, A
B, B, B, C, B, C, B, B
C, B, B, B, B, B, B, B
B, B, B, B, B, B, B, A
B, B, B, C, C, C, B, B
B, B, B, B, B, B, B, B
C, B, C, C, B, C, C, C
D, C, C, C, C, C, C, D
B, B, B, C, B, B, B, B
A, A, B, B, B, B, B, A
D, C, D, B, C, C, C, D
C, C, C, B, C, C, C, C
B, B, B, B, B, B, B, B
D, C, C, C, C, C, C, C
C, C, C, C, C, B, C, C
B, B, C, C, B, C, B, B
B, B, A, B, B, B, B, B
C, C, C, C, B, C, B, C
C, C, C, B, C, B, C, C
C, C, C, C, C, B, C, C
B, B, B, B, B, B, B, B
A, A, A, A, A, A, B, A
B, C, B, C, C, B, C, B
B, B, B, B, B, B, B, B
B, B, C, B, C, B, C, B
D, C, C, C, C, C, C, D
B, B, B, B, B, B, C, A
C, C, C, C, B, B, B, B
C, D, D, C, D, D, C, D
C, C, C, B, C, C, C, D
D, C, C, C, C, C, C, C
B, B, B, B, B, B, B, B
C, C, B, B, B, B, B, B
C, C, C, B, C, B, C, C
A, B, B, B, B, B, C, B
A, B, B, A, B, B, B, A
D, C, C, C, D, C, C, E
C, C, C, B, C, C, B, C
C, C, B, C, B, C, B, C
B, B, B, C, B, C, B, B
C, C, C, D, C, B, C, C
C, C, C, C, C, C, C, C
C, C, C, C, C, C, B, C
C, C, C, C, D, D, C, C
C, C, D, B, C, C, C, C
B, B, B, B, B, B, C, B
C, B, B, B, B, B, B, B
B, B, B, B, B, C, B, B
C, C, C, B, C, B, C, C
B, B, B, C, B, C, B, B
B, B, C, B, B, B, B, B
C, C, C, C, C, C, C, C
C, B, B, C, B, B, C, B
C, B, B, C, B, B, B, B
C, C, C, C, C, C, C, C
A, B, B, C, C, B, C, C
B, B, B, B, B, B, C, C
B, B, B, C, B, C, C, B
C, C, C, B, C, C, C, C
D, D, D, C, D, C, C, D
C, B, C, B, B, B, B, B
C, C, C, B, B, B, B, B
C, C, B, B, B, B, B, B
C, B, B, C, C, C, C, C
C, C, C, B, C, C, C, C
B, B, C, B, B, C, C, B
D, C, E, C, C, C, C, C
C, C, C, C, D, D, C, D
C, C, B, C, B, B, C, C
C, C, C, C, C, C, C, C
B, C, B, B, B, B, B, A
D, C, B, C, D, B, C, D
B, B, B, B, B, B, B, A
B, B, B, B, B, B, C, B
B, B, B, B, C, C, B, B
B, B, B, C, B, B, C, B
C, C, C, D, C, B, C, C
B, B, C, C, B, B, C, B
B, B, A, B, B, B, B, B
B, C, B, B, B, B, C, C
B, B, B, C, B, B, B, B
C, B, C, B, B, C, B, B
B, B, B, C, B, B, B, B
B, B, C, B, C, C, C, C
B, B, B, C, B, C, B, B
C, C, C, B, C, C, C, C
A, B, A, A, A, B, B, A
B, B, B, C, B, B, B, B
C, B, C, C, B, C, C, C
D, C, C, C, D, B, C, E
C, C, B, B, B, C, B, B
C, C, B, C, C, C, C, C
C, C, B, B, C, F, C, D
C, C, C, B, B, C, C, C
C, C, C, B, D, C, D, D
C, C, C, C, C, C, C, D
B, B, B, B, B, B, B, A
B, B, B, B, B, B, B, A
B, B, C, C, B, B, B, B
C, C, B, C, C, C, C, C
B, C, B, D, C, C, B, B
B, B, B, C, B, B, B, B
B, B, B, B, B, B, B, A
C, C, B, B, B, B, B, B
D, C, C, C, D, C, C, D
B, B, B, B, B, C, C, B
C, C, A, B, B, C, B, A
B, C, B, C, C, B, C, B
C, B, C, C, B, B, C, C
C, C, C, C, C, C, C, C
C, B, B, C, C, B, C, D
B, C, B, C, B, B, B, B
E, C, D, C, D, D, C, E
C, C, C, C, C, C, C, D
C, C, C, C, C, B, C, C
B, B, B, B, C, B, B, C
B, B, B, B, B, C, B, B
D, C, B, B, F, D, C, C
C, C, D, C, D, B, C, D
C, C, D, C, D, B, C, D
A, B, A, B, A, B, B, A
B, B, B, C, B, C, B, A
E, C, D, C, C, B, C, E
C, B, B, B, B, C, C, B
D, B, D, B, C, B, C, D
B, A, A, B, A, B, B, A
B, B, C, C, B, B, B, B
B, B, B, C, B, C, B, B
D, C, D, C, C, B, B, D
D, D, C, C, C, C, C, D
C, C, C, C, C, C, C, D
B, B, B, B, B, B, C, B
B, B, B, C, B, B, B, B
C, C, C, C, C, C, C, C
B, B, B, C, A, B, B, B
C, C, D, C, C, C, C, D
B, B, C, C, C, B, C, C
A, A, B, B, B, B, B, B
B, C, B, C, C, B, B, C
C, C, C, B, C, C, B, C
A, B, A, A, A, B, B, A
C, C, C, C, C, C, B, C
C, C, C, C, C, B, C, C
D, C, D, B, C, D, C, D
B, B, B, C, B, B, B, B
A, B, B, B, B, B, B, A
C, B, B, B, B, B, B, B
B, B, B, B, B, C, B, B
C, C, C, B, C, C, C, C
B, B, B, B, B, B, B, B
C, C, C, B, C, B, C, C
B, B, B, C, C, B, B, C
B, C, B, C, B, C, B, B
C, C, C, D, C, C, D, D
D, C, C, C, C, C, C, D
B, C, B, C, B, C, B, B
B, C, B, B, C, C, C, C
B, B, A, C, A, B, C, A
B, B, B, A, B, B, B, A
C, C, B, C, C, C, C, C
B, C, B, C, B, B, B, B
C, B, B, B, B, B, B, B
C, B, B, C, B, B, C, B
C, C, B, C, C, B, C, C
B, B, C, C, B, C, C, B
C, C, C, B, C, C, C, C
B, B, B, C, B, B, B, B
A, B, B, A, A, B, B, A
C, C, C, B, C, B, C, C
B, C, C, B, B, C, C, C
C, C, C, C, C, C, C, C
B, B, B, C, C, C, B, B
B, B, B, C, B, B, B, B
C, C, C, B, C, C, C, B
D, C, E, D, B, C, F, E
B, B, B, B, B, B, B, B
A, B, A, B, B, B, B, B
B, C, B, C, C, C, C, B
A, B, B, B, A, B, B, A
B, B, B, B, B, B, B, A
C, C, D, B, C, C, C, C
B, B, B, B, B, B, B, B
A, B, A, A, A, B, B, A
B, B, B, C, B, B, B, B
B, C, C, B, C, C, C, C
C, B, B, B, B, B, B, B
C, C, D, C, C, C, C, D
C, C, C, C, C, C, C, C
B, B, B, B, B, C, B, B
C, D, C, C, C, C, B, C
